QUESTION,TYPE,DEFAULT
'Welche Maßnahmen ergreift Google Cloud, um sicherzustellen, dass die Datenverarbeitung und -speicherung den rechtlichen Anforderungen entspricht, auch im Hinblick auf US-amerikanische Auskunftsrechte?','TEXT','Maßnahmen zur Datenhoheit und Standortwahl. Die Daten werden verschlüsselungstechnisch geschützt. Verträge und Zertifizierungen Compliance-Zertifizierungen). Transparenzberichte und Kundenbenachrichtigungen. Die Sicherheitspraktiken und Compliance wird regelmäßig von unabhängigen Dritten überprüft. Datenschutz- und Sicherheitszentrum.'
'Wie adressiert Google Cloud die Anforderungen an die Datenverarbeitung von SaaS-Diensten in Drittländern, insbesondere in Bezug auf das Schrems-II-Urteil und § 80 Abs. 2 SGB X?','TEXT','Durch gezielte Datenlokalisierung und Regionenauswahl. Mit Standardvertragsklauseln sowie zusätzliche Sicherheitsmaßnahmen. Dazu kommen Datenschutzbewertungen und Risikomanagement. Außerdem mittels Transparenz und Verantwortlichkeitsmanagement.'
'Wie können GKV-Träger sicherstellen, dass die Nutzung von Google Cloud-SaaS-Diensten die Datenverarbeitung auf die EU beschränkt, in Übereinstimmung mit § 80 Abs. 2 SGB X?','TEXT','Durch die Datenlokalisierung und Regionenauswahl. Vertragsvereinbarungen mit dem Anbieter. Einsatz von Verschlüsselung. Zugriffs- und Sicherheitskontrollen. Regelmäßige Überprüfung und Audits. Verpflichtung zur Benachrichtigung.'
'Wie wird die Übermittlung von Daten in Drittländer gehandhabt, insbesondere im Hinblick auf das Schrems-II-Urteil?','TEXT','Standardvertragsklauseln SCCs). Zusätzliche technische, organisatorische und vertragliche Schutzmaßnahmen. Datenlokalisierung Speicherung und Verarbeitung der Daten ausschließlich innerhalb der EU). Individuelle Risikobewertung für jede Datenübermittlung in ein Drittland durchführen. Klare Klauseln enthalten, die die Datenverarbeitung regeln.'
'Wie schützt Google Cloud Kundendaten vor Zugriffen durch US-amerikanische Behörden?','TEXT','Daten ausschließlich in der EU oder anderen Regionen. Verschlüsselung. Challenging Government Requests. Zero Trust Architecture. Transparenzberichte. Anwendung der Standardvertragsklauseln SCCs).'
'Wie unterstützt die Google Cloud-Lösung die Einhaltung des Bundesdatenschutzgesetzes und der DSGVO?','TEXT','Datenkontrolle und -speicherung. Verschlüsselung und Schlüsselverwaltung. Vertragliche Verpflichtungen. Transparenz und Kontrolle. Souveräne Cloud-Lösungen.'
'Wie gewährleistet Google Cloud die Einhaltung der DSGVO und des BDSG für GKV-Daten?','TEXT','Datenlokalisierung und -kontrolle. Verschlüsselung und Schlüsselverwaltung. Vertragliche Verpflichtungen. Transparenz und Kontrolle. Spezifische Compliance-Programme.'
'Wie gewährleistet Google Cloud die Einhaltung von § 80 SGB X und DSGVO beim Umgang mit Sozialdaten?','TEXT','Datenlokalisierung und -kontrolle. Verschlüsselung und Schlüsselverwaltung. Vertragliche Verpflichtungen. Transparenz und Kontrolle. Spezifische Compliance-Programme.'
'Compliance Anforderungen','SUBHEADER','Alle Informationen zu den Compliance Anforderungen.'
'Wie können GKV-Träger Google-Tools nutzen, um Compliance-Anforderungen zu überwachen und zu erfüllen?','TEXT','Google Cloud Compliance Manager. Verschlüsselung und Schlüsselverwaltung. Audit-Logs und Überwachung. Datenschutz-Folgenabschätzung DPIA). Vertragliche Verpflichtungen und Zertifizierungen.'
'Backup-Strategien','SUBHEADER','Alle Informationen zu den Backup-Strategien.'
'Welche Google-Dienste nutzt die GKV im Bereich Hochverfügbarkeit?','TEXT','Google Kubernetes Engine GKE. Compute Engine. Cloud Storage. Cloud Load Balancing. Cloud SQL und Cloud Spanner.'
'Welche Google-Dienste nutzt die GKV im Bereich Disaster Recovery?','TEXT','Google Cloud Storage. Google Cloud Backup and DR. Google Cloud Spanner. Google Kubernetes Engine GKE). Cloud Load Balancing'
'Cloud Agnostik','SUBHEADER','Alle Informationen zur Cloud Agnostik.'
'Welche Mechanismen bietet der Anbieter hinsichtlich eines Umzugs in eine andere Cloud (Cloud-Switching)?','TEXT','Interoperabilität und offene Standards. Multi-Cloud-Management-Tools. Datenmigrationstools. Containerisierung. Vertragliche Flexibilität.'
'Faire Datennutzung','SUBHEADER','Alle Informationen zur fairen Datennutzung.'
'Gibt es bereits Mechanismen zur Gewährleistung von European Data Act?','BOOL','True'
'Wie nutzt die GKV Google-Dienste, um eine feingranulare Zugriffssteuerung und Governance zu implementieren?','TEXT','Identity and Access Management IAM. VPC Service Controls. Cloud Audit Logs. Access Transparency. Policy Intelligence.'
'IT-Sicherheit','SUBHEADER','Alle Informationen zur IT-Sicherheit.'
'Sicherheit','DESC','Hier werden alle Informationen zur Sicherheit erfasst.'
'Welche Maßnahmen ergreift Google Cloud zum Schutz vor internen und externen Angriffen?','TEXT','Zugriffskontrolle und Authentifizierung. Verschlüsselung. Überwachung und Auditierung. Netzwerksicherheit. Schulung und Sensibilisierung. Zero-Trust-Architektur.'
'Wie können GKV-Träger die Anforderungen an die physische Sicherheit und den Zugangsschutz in Rechenzentren überprüfen?','TEXT','Zertifizierungen und Audits. Physische Sicherheitskontrollen. Zugangsprotokolle und Überwachung. Regelmäßige Audits und Inspektionen. Zusammenarbeit mit dem Rechenzentrumsanbieter.'
'Wie plant ihre Organisation, dies zu tun?','TEXT','Zertifizierungen und Audits. Physische Sicherheitskontrollen. Zugangsprotokolle und Überwachung. Regelmäßige Audits und Inspektionen. Zusammenarbeit mit dem Rechenzentrumsanbieter.'
'Ist für die Google Cloud-Lösung ein C5-Testat ausgestellt?','BOOL','True'
'Werden besonders schützenswerte Daten verarbeitet?','BOOL','True'
'Werden die Daten auf die Eingabe, Veränderung und Löschung protokolliert?','TEXT','Diese Protokollierung erfolgt in sogenannten Audit-Logs und Zugriffprotokollen, die aufzeichnen, wer wann welche Änderungen an den Daten vorgenommen hat.'
'Ausstieg','DESC','Hier werden alle Informationen zum Ausstieg erfasst.'
'Welche Maßnahmen ergreift Google Cloud bei Beendigung des Vertragsverhältnisses in Bezug auf die Portabilität?','TEXT','Datenexport mitels APIs zur Verfügung. Datenzugriff für einen begrenzten Zeitraum nach Vertragsbeendigung. Datenlöschung nach der Beendigung des Vertrags. Unterstützung bei der Migration.'
'Wie sehen die Ausstiegsszenarien aus?','TEXT','Datenmigration, Datenexport und Datenlöschung'
'Welche Maßnahmen ergreift Google Cloud bei Beendigung des Vertragsverhältnisses in Bezug auf die Datenlöschung?','TEXT','Datenlöschungsprozess, Zertifizierung und Nachweis Löschbestätigung und Audit-Logs.'
'Verschlüsselung','DESC','Hier werden alle Informationen zur Verschlüsselung erfasst.'
'Welche Maßnahmen trifft Google Cloud, um Daten vor unbefugtem Zugriff durch Dritte, einschließlich Google Cloud selbst, zu schützen?','TEXT','Zugriffskontrolle und Authentifizierung. Verschlüsselung. Überwachung und Auditierung. Netzwerksicherheit. Zero-Trust-Architektur. Schulung und Sensibilisierung.'
'Wie unterstützt Google Cloud die Verschlüsselung von Daten at-rest?','TEXT','Daten werden im Ruhezustand standardmäßig mit AES-256 verschlüsselt. Daten werden während der Übertragung zwischen den Systemen verschlüsselt mittels TLS Transport Layer Security). Mit Confidential Computing und Confidential VMs bleiben Daten auch während der Verarbeitung verschlüsselt.'
'Wie unterstützt Google Cloud die Verschlüsselung von Daten in-transit?','TEXT','TLS Transport Layer Security). IPSec-Tunnel. Managed SSL-Zertifikate. Verschlüsselung von VM-zu-VM-Datenverkehr.'
'Verschlüsselungs-Dienst','SELECT','0'
'Welche Mechanismen stellt die Google Cloud-Lösung zur Verschlüsselung von Patientendaten zur Verfügung? Wie werden Schlüssel gemanaged?','TEXT','Verschlüsselung at-rest. Verschlüsselung in-transit. Verschlüsselung in-use. KMS Schlüsselmanagement'
